conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
2043062344675397897,Sat Apr 18 08:01:29 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Gw ulangi ya. Gw ngomongin Sydney di tongkrongan dengan gw ngomongin temen cewek. Obrolannya stay privat dan gak ada perencanaan pemerkosaan. Sama aja dong? Atau masih mikir sama pelecehan?,2045412387856302365,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045412387856302365,1170453991,
2043062344675397897,Sat Apr 18 07:58:01 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Gw mengecam kasusnya. Gw mempermasalahkan kriminalisasi locker room talk secara umum. Kalau obrolannya bocor dan cewek sebagai objek horny talk tau dia juga berhak bereaksi dengan trauma. Sampe sini paham? Masih keliatan inkonsisten apa gimana?,2045411513813639445,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045411513813639445,1170453991,
2043062344675397897,Sat Apr 18 07:56:15 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Btw semua orang berpaku banget sama piramida itu padahal locker room talk &amp; private rape jokes gak ada korelasi langsung ke sexual harassment ,2045411069179605308,,PutriAgust54679,in,,0,1,0,https://x.com/undefined/status/2045411069179605308,1170453991,
2043062344675397897,Sat Apr 18 07:55:27 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Pikiran gw mungkin cacat karena gw selalu berpikir gw main GTA dan nonton film Tarantino gak menjadikan gw pembunuh. Kalau pornografi separah itu seluruh belahan dunia udah dipenuhi rapist kak,2045410869874688467,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045410869874688467,1170453991,
2043062344675397897,Sat Apr 18 07:50:53 +0000 2026,0,@myalbarakat @MastinSaurus @sampahfhui Pelecehan atau dosa? Beda nih. Masalahnya kakak ngejelasin kayak fantasi bokep cuman pikiran kotor berdosa aja dari segi moral dan agama. Berarti manusia harus membicarakan yg bersih aja di ranah privat sekalipun juga?,2045409720887128463,,myalbarakat,in,,0,1,0,https://x.com/undefined/status/2045409720887128463,1170453991,
2043062344675397897,Sat Apr 18 07:47:14 +0000 2026,0,@happyvirusahn0 @MastinSaurus @sampahfhui Aww ngeri rapist benci kasus rapist?,2045408798890938379,,happyvirusahn0,in,,0,1,0,https://x.com/undefined/status/2045408798890938379,1170453991,
2043062344675397897,Sun Apr 19 13:59:45 +0000 2026,1,@sampahfhui Gue kira mrka smart people ternyata sick people,2045864937109835884,,sampahfhui,in,,0,0,0,https://x.com/undefined/status/2045864937109835884,1759167049517936640,
2043062344675397897,Sun Apr 19 12:34:44 +0000 2026,0,@myalbarakat @MastinSaurus @sampahfhui Oke mending kita sudahi aja debat kusir ini. Dari awal gw gak bahas moral dan agama samsek. Hanya legalitas dan kriminalisasi apalagi banyak orang termasuk kakak yg terlalu mengaitkan moral dan nilai spiritual ke hukum. Terima kasih. I wish u well ~,2045843540857835670,,myalbarakat,in,,0,0,0,https://x.com/undefined/status/2045843540857835670,1170453991,
2043062344675397897,Sun Apr 19 11:47:15 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Dan dlm islam klo dlm pikiran kita terlintas hal kotor disuruh cpt2 beristighfar. Islam jga mengajarkan lbh baik diam daripada ucapan yg kita kelurkan tdk baik. Dan dlm islam diam adlh emas,2045831591826796991,,myalbarakat,in,,0,1,0,https://x.com/undefined/status/2045831591826796991,1953063421953605632,
2043062344675397897,Sun Apr 19 11:44:43 +0000 2026,0,@Phinn_Majid @MastinSaurus @sampahfhui Sama aja ga ada bedany. Dosakan banyak jenisny salah satuny ya pelecehan. Iya manusia wajib membicarakan yg bersih/yg baik2 dlm kondisi apapun. As muslim islam menganjurkan umatny untuk berpikir bersih dan semua hal sdh diatur dlm islam. -c,2045830954086977715,,Phinn_Majid,in,,0,1,0,https://x.com/undefined/status/2045830954086977715,1953063421953605632,
2043062344675397897,Sun Apr 19 06:27:14 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Oh ya. Banyak warga kampung bisa dibui juga dong gara-gara ghibah ,2045751056785936570,,PutriAgust54679,in,,0,1,0,https://x.com/undefined/status/2045751056785936570,1170453991,
2043062344675397897,Sun Apr 19 06:23:07 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Sekali lagi masalah FH UI udah LEBIH dari sekedar locker room talk. Terus kalo grup chat gw sama temen gw terekspos ngomongin bodi Sydney Sweeney Nikita Mirzani Kartika bini Uus tanpa ada perencanaan tindak kriminal kami semua mau dibui juga ?,2045750018624323927,,PutriAgust54679,in,,0,1,0,https://x.com/undefined/status/2045750018624323927,1170453991,
2043062344675397897,Sun Apr 19 06:21:05 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Itu terjawab dari lu sendiri. Ujung-ujungnya ngapain bikin hukum yg gak efektif? Hukum Indonesia sekarang aja yg banyak mengatur hal yg gak kalah urgent aja dianggurin kayak tai,2045749507661656311,,PutriAgust54679,in,,0,2,0,https://x.com/undefined/status/2045749507661656311,1170453991,
2043062344675397897,Sun Apr 19 06:19:31 +0000 2026,0,@PutriAgust54679 @MastinSaurus @sampahfhui Yaudah. Dari awal lu juga masih aja mikir private horny talk pribadi pelecehan. Yaudah anggap gw dan banyak manusia (cowok dan cewek) di muka bumi ini setiap detik melecehkan dan menyakiti satu sama lain bahkan dalam ruang tertutup sekalipun,2045749114735059260,,PutriAgust54679,in,,0,0,0,https://x.com/undefined/status/2045749114735059260,1170453991,
